YES ARE POWER TOOLS  2026-2027 BCODE(est),,,
Stock Report,,,
Report Period : 19-Apr-2026 11:59:59 PM,,,
No,Item Code,Item Name,Quantity
269,13002,LIVON 16 AMP 3 PIN TOP 13002,2
270,13003.,LIVON 6AMP MULTY PLUG 13003,51
271,13006.,LIVON  FLEX BOX 2 PIN 4 MTR EB3/4 LIVON ,2
272,13010,LIVON 2 PIN 1 TOP 13010,22
273,13011.,LIVON MALE AND FEMALE 13011,3
274,13017.,LIVON 13017 20AMP 1 WAY SWITCH  ,200
275,131.,WATER PAPER BULLET 100,-5.000
276,131.,WATER PAPER BULLET 100,476
277,132.,WATER PAPER BULLET 120,1144
278,132.,WATER PAPER BULLET 120,193
279,132.,WATER PAPER BULLET 120,-5.000
280,1322,IGBT 40T60 BT,6
281,133,WATER PAPER BULLET 150,-100.000
282,133,WATER PAPER BULLET 150,2230
283,134,WATER PAPER BULLET 180,323
284,135,WATER PAPER BULLET 220,48
285,135,WATER PAPER BULLET 220,74
286,1350,CABLE LUG 50*110MM ,-5.000
287,13529.,SHIFT PLATE +BALL BEARING +SWTCH,18
288,13550,COLUMN PIPE ADAPTER 11/4,1
289,13551,COLUMIN PIPE 32MM 15 KG ,120
290,136.,WATER PAPER BULLET 400,496
291,136.,WATER PAPER BULLET 400,218
292,136.,WATER PAPER BULLET 400,-99.000
293,137,WATER PAPER BULLET 320,292
294,138.,FEVISEAL ACETOXY 280ML CLEAR,140
295,138.,FEVISEAL ACETOXY 280ML CLEAR,2
296,138.,FEVISEAL ACETOXY 280ML CLEAR,1
297,138/1,SILICON CLEAR RTV GR100(260ML),2
298,138/3,EXTENSION WIRE 3MTR,-1.000
299,13MM ELECTRIC PLANNER DRILL ATTACHMENT ,13MM ELECTRIC PLANNER DRILL ATTACHMENT ,1
300,13SSS,SMALL SQUARE SHOVEL ,1
301,140.,FEVISEAL ACETOXY 280ML BLACK,124
302,140.,FEVISEAL ACETOXY 280ML BLACK,16
303,1407,SCREW ,65
304,14081,HAVELLS FAN CABIN 300MM HAVELLS  14081,2
305,141.,SILICON  WHITE  RTV GP100(260ML),29
306,141.,SILICON  WHITE  RTV GP100(260ML),39
307,141.,SILICON  WHITE  RTV GP100(260ML),154
308,141.,SILICON  WHITE  RTV GP100(260ML),2
309,141.,SILICON  WHITE  RTV GP100(260ML),26
310,141.,SILICON  WHITE  RTV GP100(260ML),-4.000
311,141.,SILICON  WHITE  RTV GP100(260ML),-10.000
312,141.,SILICON  WHITE  RTV GP100(260ML),-2.000
313,141/1,SILICON WHITE RTV GP100(260ML),-4.000
314,14134,WALL FAN HAVELLS 14134,3
315,1416,BOLT,64
316,1417,SCREW,85
317,142.,ANCHOR BOLT 6MM,3994
318,142.,ANCHOR BOLT 6MM,402.6
319,14264 ,14264 EX FAN 12INCH  ALMONARD ,1
320,14270,14270  EX/FAN 15INCH  ALMONARD ,1
321,14285,14285 EX.FAN HD 1400 RPM -ALMONARD ,1
322,14293,ALMONARD EX/FAN 14293,1
323,142F,ANCHOR HOOK TYPE 6MM,283
324,143.,ANCHOR BOLT 8MM(BG),1762
325,143.,ANCHOR BOLT 8MM(BG),-5.000
326,143.,ANCHOR BOLT 8MM(BG),-264.000
327,143.,ANCHOR BOLT 8MM(BG),-304.000
328,143.,ANCHOR BOLT 8MM(BG),-1.000
329,143/F,ANCHOR BOLT 8MM FERRY ,575
330,1432,WIRE SLEEVE ,28
331,1432,WIRE SLEEVE ,-8.000
332,1432,WIRE SLEEVE ,-3.500
333,1433.,WIRE SLEEV ,54
334,1433.,WIRE SLEEV ,5
335,1433.,WIRE SLEEV ,-8.000
336,1433.,WIRE SLEEV ,-11.500
337,1434,WIRE SLEEVE ,-1.000
338,1434,WIRE SLEEVE ,-2.000
339,14349.,VEBSTAR MALE AND FE MALE 14349,16
340,144,ANCHOR BOLT 10MM BEB,-48.000
341,145,ANCHOR BOLT 12 MM(CANGO),91
342,145/1,ANCHOR BOLT 12MM HOOK ,43
343,145/1,ANCHOR BOLT 12MM HOOK ,214
344,147,ANCHER BOLT 10MM  HOOK,177
345,147,ANCHER BOLT 10MM  HOOK,-43.000
346,147,ANCHER BOLT 10MM  HOOK,-43.000
347,147/1,ANCHOR BOLT HOOK TYPE 8MM,238
348,147/1,ANCHOR BOLT HOOK TYPE 8MM,41
349,14LB,A145AM SLEDGE HAMMER 14LB,1
350,14SSLB,SHOVEL SMALL SQUARE WITH L BLEND ,4
351,15002,TOLSEN 15002 ADJUSTABLE SPANNER 8INCH ,1
352,15003,TOLSEN 15003 AD.SPANNER  10INCH ,1
353,1505,OIL SEAL  CW 12-20 ,50
354,1506,OIL SEAL CW 14-22,6
355,1507,WATER SEAL  ,3
